player_id,display_name,normalized_name,birth_date,age,nationality_id,primary_position,secondary_position,dominant_foot,height_cm,current_team_id,status,priority_manual,potential,source,phone,email,test_sheet,entry_date,entry_age,tags,general_notes,created_at
PLY0001,James Trafford,james trafford,,23,CTY0002,POR,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,23,"Sub-23, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0002,Stefan Ortega,stefan ortega,,33,CTY0004,POR,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,33,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0003,Rayan Ait-Nouri,rayan ait-nouri,,24,CTY0024,LI,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,24,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0004,Manuel Akanji,manuel akanji,,30,CTY0017,DFC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,30,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0005,Nathan Aké,nathan ake,,31,CTY0007,DFC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,31,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0006,Rúben Dias,ruben dias,,29,CTY0006,DFC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,29,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0007,Joško Gvardiol,josko gvardiol,,24,CTY0012,DFC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,24,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0008,John Stones,john stones,,32,CTY0002,DFC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,32,Man City,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0009,Rico Lewis,rico lewis,,21,CTY0002,LD,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,21,"Sub-23, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0010,Abdukodir Khusanov,abdukodir khusanov,,22,CTY0052,DFC,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,22,"Sub-23, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0011,Rodri,rodri,,29,CTY0001,MCD,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,29,"centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0012,Mateo Kovacic,mateo kovacic,,32,CTY0012,MC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,32,"centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0013,Bernardo Silva,bernardo silva,,31,CTY0006,MP,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,31,"centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0014,Phil Foden,phil foden,,26,CTY0002,MP,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,26,"centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0015,Tijjani Reijnders,tijjani reijnders,,27,CTY0007,MC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,27,"centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0016,Nico O’Reilly,nico o reilly,,21,CTY0002,MC,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,21,"Sub-23, centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0017,Savinho,savinho,,22,CTY0010,ED,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,22,"Sub-23, último tercio, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0018,Jérémy Doku,jeremy doku,,24,CTY0008,EI,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,24,"último tercio, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0019,Oscar Bobb,oscar bobb,,22,CTY0014,ED,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,22,"Sub-23, último tercio, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0020,Claudio Echeverri,claudio echeverri,,20,CTY0009,MP,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,20,"Sub-23, centrocampista, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0021,Omar Marmoush,omar marmoush,,27,CTY0025,DC,,,,TEA0001,Seguir,,Medio-alto,Dataset inicial,,,,,27,"último tercio, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0022,Erling Haaland,erling haaland,,25,CTY0014,DC,,,,TEA0001,Seguir,,Alto,Dataset inicial,,,,,25,"último tercio, Man City",Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0023,David Raya,david raya,,30,CTY0001,POR,,,,TEA0002,Seguir,,Medio-alto,Dataset inicial,,,,,30,,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0024,William Saliba,william saliba,,25,CTY0005,DFC,,,,TEA0002,Seguir,,Medio-alto,Dataset inicial,,,,,25,,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0025,Gabriel Magalhães,gabriel magalhaes,,28,CTY0010,DFC,,,,TEA0002,Seguir,,Medio-alto,Dataset inicial,,,,,28,,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0026,Jurrien Timber,jurrien timber,,25,CTY0007,LD,,,,TEA0002,Seguir,,Medio-alto,Dataset inicial,,,,,25,,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
PLY0027,Riccardo Calafiori,riccardo calafiori,,24,CTY0003,LI,,,,TEA0002,Seguir,,Medio-alto,Dataset inicial,,,,,24,,Jugador precargado como semilla de dataset 2025/26; revisar y completar tras observación propia.,2026-06-02 00:00:00
